country,uniqueid,bank_account,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type
Kenya,uniqueid_4314,Yes,Urban,Yes,2,24,Female,Spouse,Married/Living together,Secondary education,Informally employed
Kenya,uniqueid_4315,No,Rural,Yes,5,56,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,uniqueid_4316,Yes,Rural,Yes,4,43,Female,Spouse,Married/Living together,Primary education,Formally employed Government
Kenya,uniqueid_4317,Yes,Urban,Yes,1,45,Male,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Government
Kenya,uniqueid_4318,No,Rural,Yes,7,23,Male,Child,Single/Never Married,Secondary education,Informally employed
Kenya,uniqueid_4319,No,Rural,Yes,4,59,Male,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,uniqueid_4320,No,Rural,Yes,3,63,Female,Head of Household,Divorced/Seperated,Primary education,Remittance Dependent
Kenya,uniqueid_4321,No,Urban,Yes,4,43,Male,Child,Married/Living together,No formal education,Informally employed
Kenya,uniqueid_4322,Yes,Rural,No,3,70,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Kenya,uniqueid_4323,No,Rural,Yes,1,35,Male,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,uniqueid_4324,Yes,Rural,Yes,3,51,Female,Spouse,Married/Living together,Vocational/Specialised training,Formally employed Government
Kenya,uniqueid_4325,No,Urban,No,1,73,Female,Head of Household,Widowed,No formal education,Government Dependent
Kenya,uniqueid_4326,No,Rural,No,8,17,Female,Other relative,Single/Never Married,Secondary education,Remittance Dependent
Kenya,uniqueid_4327,No,Rural,No,6,45,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,uniqueid_4328,No,Rural,Yes,5,45,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,uniqueid_4329,No,Urban,Yes,3,30,Male,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,uniqueid_4330,Yes,Urban,Yes,5,19,Female,Child,Single/Never Married,Vocational/Specialised training,Remittance Dependent
Kenya,uniqueid_4331,No,Urban,Yes,5,42,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent
Kenya,uniqueid_4332,Yes,Urban,Yes,3,27,Female,Spouse,Married/Living together,Secondary education,Self employed
Kenya,uniqueid_4333,No,Rural,Yes,2,27,Female,Spouse,Single/Never Married,Secondary education,Farming and Fishing
Kenya,uniqueid_4334,Yes,Rural,Yes,5,26,Male,Child,Married/Living together,Secondary education,Farming and Fishing
Kenya,uniqueid_4335,Yes,Urban,Yes,2,29,Female,Head of Household,Single/Never Married,Secondary education,Self employed
Kenya,uniqueid_4336,No,Rural,No,5,28,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,uniqueid_4337,No,Rural,Yes,5,27,Female,Child,Single/Never Married,Primary education,Informally employed
Kenya,uniqueid_4338,No,Rural,No,7,35,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,uniqueid_4339,No,Rural,Yes,1,41,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
Kenya,uniqueid_4340,No,Rural,Yes,1,51,Female,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,uniqueid_4341,No,Rural,Yes,3,24,Male,Head of Household,Single/Never Married,Secondary education,Informally employed
Kenya,uniqueid_4342,No,Urban,Yes,7,50,Female,Spouse,Married/Living together,No formal education,Remittance Dependent
Kenya,uniqueid_4343,Yes,Rural,Yes,3,30,Male,Other relative,Single/Never Married,Primary education,Informally employed
Kenya,uniqueid_4344,No,Rural,Yes,11,48,Male,Head of Household,Married/Living together,No formal education,Informally employed
Kenya,uniqueid_4345,No,Rural,Yes,4,50,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Kenya,uniqueid_4346,No,Rural,No,5,40,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,uniqueid_4347,No,Urban,Yes,4,24,Female,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,uniqueid_4348,No,Rural,Yes,3,28,Female,Other relative,Married/Living together,Vocational/Specialised training,Formally employed Private
Kenya,uniqueid_4349,No,Rural,Yes,6,52,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,uniqueid_4350,Yes,Rural,Yes,1,46,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Kenya,uniqueid_4351,Yes,Urban,Yes,6,31,Female,Spouse,Married/Living together,Secondary education,Self employed
Kenya,uniqueid_4352,No,Rural,Yes,6,32,Male,Child,Single/Never Married,Secondary education,Self employed
Kenya,uniqueid_4353,No,Urban,Yes,6,43,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Kenya,uniqueid_4354,No,Urban,Yes,2,30,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent
Kenya,uniqueid_4355,No,Rural,Yes,4,35,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Private
Kenya,uniqueid_4356,No,Rural,No,1,79,Female,Head of Household,Widowed,No formal education,Remittance Dependent
Kenya,uniqueid_4357,Yes,Rural,Yes,2,64,Male,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,uniqueid_4358,No,Rural,No,6,50,Female,Spouse,Married/Living together,No formal education,Informally employed
Kenya,uniqueid_4359,No,Rural,No,7,16,Female,Child,Single/Never Married,Primary education,Remittance Dependent
Kenya,uniqueid_4360,Yes,Urban,Yes,3,38,Male,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Government
Kenya,uniqueid_4361,No,Rural,Yes,2,19,Female,Child,Single/Never Married,Vocational/Specialised training,Remittance Dependent
Kenya,uniqueid_4362,Yes,Rural,Yes,5,40,Male,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Government
Kenya,uniqueid_4363,Yes,Rural,Yes,6,38,Male,Head of Household,Married/Living together,Secondary education,Formally employed Government
Kenya,uniqueid_4364,Yes,Urban,Yes,5,30,Male,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,uniqueid_4365,No,Rural,No,4,17,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,uniqueid_4366,No,Urban,Yes,2,21,Male,Other relative,Single/Never Married,Primary education,Self employed
Kenya,uniqueid_4367,No,Rural,No,4,18,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,uniqueid_4368,No,Rural,Yes,4,30,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Kenya,uniqueid_4369,Yes,Rural,Yes,1,75,Female,Head of Household,Widowed,Secondary education,Farming and Fishing
Kenya,uniqueid_4370,No,Urban,No,4,17,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,uniqueid_4371,Yes,Urban,Yes,2,30,Female,Head of Household,Single/Never Married,Primary education,Self employed
Kenya,uniqueid_4372,Yes,Urban,Yes,4,36,Female,Spouse,Married/Living together,Primary education,Self employed
Kenya,uniqueid_4373,No,Rural,Yes,8,38,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_4374,Yes,Urban,Yes,6,35,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_4375,No,Urban,No,8,16,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,uniqueid_4376,No,Urban,Yes,4,28,Female,Spouse,Married/Living together,Primary education,Self employed
Kenya,uniqueid_4377,No,Rural,Yes,1,49,Male,Head of Household,Married/Living together,Primary education,Formally employed Private
Kenya,uniqueid_4378,No,Rural,Yes,3,31,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Kenya,uniqueid_4379,No,Rural,Yes,2,74,Male,Head of Household,Single/Never Married,Secondary education,Other Income
Kenya,uniqueid_4380,No,Rural,No,6,28,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,uniqueid_4381,No,Rural,Yes,1,73,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,uniqueid_4382,No,Rural,Yes,6,32,Male,Child,Married/Living together,Tertiary education,Other Income
Kenya,uniqueid_4383,Yes,Rural,Yes,1,30,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Government
Kenya,uniqueid_4384,No,Rural,No,7,46,Male,Child,Divorced/Seperated,Primary education,Remittance Dependent
Kenya,uniqueid_4385,No,Rural,Yes,3,19,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,uniqueid_4386,No,Rural,Yes,4,56,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Kenya,uniqueid_4387,No,Rural,Yes,5,18,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,uniqueid_4388,No,Rural,Yes,2,34,Female,Head of Household,Divorced/Seperated,Secondary education,Remittance Dependent
Kenya,uniqueid_4389,No,Urban,Yes,6,44,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,uniqueid_4390,No,Urban,Yes,4,17,Male,Other relative,Single/Never Married,Secondary education,Informally employed
Kenya,uniqueid_4391,No,Urban,Yes,5,22,Male,Child,Single/Never Married,Primary education,Informally employed
Kenya,uniqueid_4392,Yes,Urban,Yes,6,32,Female,Spouse,Married/Living together,Primary education,Self employed
Kenya,uniqueid_4393,No,Rural,No,14,23,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,uniqueid_4394,No,Rural,Yes,1,49,Female,Head of Household,Widowed,Primary education,Self employed
Kenya,uniqueid_4395,No,Urban,No,5,18,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,uniqueid_4396,No,Rural,Yes,10,31,Male,Head of Household,Married/Living together,No formal education,Informally employed
Kenya,uniqueid_4397,No,Rural,Yes,2,56,Female,Spouse,Married/Living together,Primary education,Self employed
Kenya,uniqueid_4398,Yes,Rural,No,1,66,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Kenya,uniqueid_4399,No,Rural,Yes,5,57,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,uniqueid_4400,Yes,Urban,Yes,1,26,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Self employed
Kenya,uniqueid_4401,No,Rural,Yes,5,75,Female,Head of Household,Widowed,No formal education,Government Dependent
Kenya,uniqueid_4402,No,Rural,No,7,17,Female,Child,Single/Never Married,Primary education,Remittance Dependent
Kenya,uniqueid_4403,Yes,Rural,Yes,3,41,Female,Spouse,Married/Living together,Primary education,Other Income
Kenya,uniqueid_4404,Yes,Rural,Yes,6,74,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,uniqueid_4405,No,Rural,No,6,56,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,uniqueid_4406,No,Rural,Yes,10,20,Female,Child,Single/Never Married,Tertiary education,Remittance Dependent
Kenya,uniqueid_4407,No,Urban,Yes,4,30,Male,Head of Household,Married/Living together,Primary education,Self employed
Kenya,uniqueid_4408,No,Urban,Yes,4,51,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,uniqueid_4409,Yes,Rural,Yes,2,72,Male,Spouse,Married/Living together,Tertiary education,Farming and Fishing
Kenya,uniqueid_4410,No,Rural,Yes,3,28,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_4411,Yes,Urban,Yes,3,43,Male,Head of Household,Married/Living together,Primary education,Self employed
Kenya,uniqueid_4412,No,Rural,No,2,16,Male,Child,Single/Never Married,Primary education,Remittance Dependent
Kenya,uniqueid_4413,No,Urban,No,6,17,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,uniqueid_4414,No,Rural,No,6,27,Female,Head of Household,Married/Living together,Primary education,Self employed
Kenya,uniqueid_4415,No,Urban,Yes,4,20,Female,Child,Single/Never Married,Vocational/Specialised training,Remittance Dependent
Kenya,uniqueid_4416,No,Rural,No,7,24,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_4417,No,Urban,No,7,35,Female,Head of Household,Married/Living together,No formal education,Informally employed
Kenya,uniqueid_4418,Yes,Urban,Yes,5,30,Male,Head of Household,Married/Living together,Primary education,Self employed
Kenya,uniqueid_4419,No,Urban,Yes,6,34,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private
Kenya,uniqueid_4420,Yes,Urban,Yes,1,22,Male,Head of Household,Single/Never Married,Tertiary education,Remittance Dependent
Kenya,uniqueid_4421,No,Rural,Yes,4,54,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Kenya,uniqueid_4422,No,Rural,Yes,1,25,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Kenya,uniqueid_4423,Yes,Rural,Yes,5,45,Male,Head of Household,Married/Living together,Vocational/Specialised training,Self employed
Kenya,uniqueid_4424,No,Rural,Yes,9,38,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
Kenya,uniqueid_4425,No,Rural,No,3,25,Male,Child,Single/Never Married,Primary education,Self employed
Kenya,uniqueid_4426,No,Urban,Yes,5,22,Female,Spouse,Married/Living together,Primary education,Self employed
Kenya,uniqueid_4427,No,Urban,Yes,1,55,Female,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,uniqueid_4428,No,Rural,Yes,2,19,Female,Other relative,Single/Never Married,Secondary education,Formally employed Government
Kenya,uniqueid_4429,No,Rural,Yes,3,27,Female,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,uniqueid_4430,No,Rural,Yes,7,20,Male,Child,Single/Never Married,Primary education,Informally employed
Kenya,uniqueid_4431,No,Urban,Yes,4,31,Female,Spouse,Married/Living together,Tertiary education,Farming and Fishing
Kenya,uniqueid_4432,Yes,Rural,Yes,4,50,Female,Child,Single/Never Married,Primary education,Farming and Fishing
Kenya,uniqueid_4433,No,Rural,Yes,1,72,Female,Head of Household,Widowed,No formal education,Remittance Dependent
Kenya,uniqueid_4434,No,Urban,No,4,38,Female,Spouse,Married/Living together,Secondary education,Self employed
Kenya,uniqueid_4435,No,Urban,Yes,3,51,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_4436,No,Urban,Yes,2,65,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_4437,No,Urban,Yes,4,35,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Kenya,uniqueid_4438,No,Urban,Yes,3,18,Female,Other non-relatives,Single/Never Married,Secondary education,Remittance Dependent
Kenya,uniqueid_4439,Yes,Rural,Yes,4,42,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,uniqueid_4440,No,Urban,Yes,4,28,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,uniqueid_4441,No,Rural,Yes,6,27,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Kenya,uniqueid_4442,No,Rural,Yes,1,68,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Kenya,uniqueid_4443,No,Rural,Yes,5,59,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,uniqueid_4444,No,Rural,Yes,8,60,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,uniqueid_4445,No,Urban,Yes,4,53,Male,Head of Household,Married/Living together,Vocational/Specialised training,Farming and Fishing
Kenya,uniqueid_4446,No,Rural,Yes,5,20,Female,Spouse,Married/Living together,No formal education,Self employed
Kenya,uniqueid_4447,Yes,Urban,Yes,5,39,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Government
Kenya,uniqueid_4448,No,Urban,Yes,3,29,Female,Head of Household,Widowed,No formal education,Remittance Dependent
Kenya,uniqueid_4449,No,Urban,Yes,2,47,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Kenya,uniqueid_4450,No,Rural,Yes,4,56,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,uniqueid_4451,No,Rural,Yes,8,47,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,uniqueid_4452,No,Rural,Yes,3,53,Male,Head of Household,Married/Living together,Secondary education,Formally employed Government
Kenya,uniqueid_4453,No,Rural,Yes,1,28,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
Kenya,uniqueid_4454,No,Urban,Yes,1,20,Female,Head of Household,Single/Never Married,Secondary education,Informally employed
Kenya,uniqueid_4455,No,Urban,Yes,2,28,Female,Spouse,Married/Living together,Vocational/Specialised training,Self employed
Kenya,uniqueid_4456,No,Rural,Yes,3,25,Female,Spouse,Married/Living together,Primary education,Self employed
Kenya,uniqueid_4457,Yes,Urban,Yes,4,22,Female,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,uniqueid_4458,No,Rural,Yes,2,27,Female,Head of Household,Married/Living together,No formal education,Self employed
Kenya,uniqueid_4459,No,Rural,Yes,4,70,Female,Parent,Divorced/Seperated,No formal education,Farming and Fishing
Kenya,uniqueid_4460,No,Rural,Yes,1,38,Male,Head of Household,Divorced/Seperated,Secondary education,Informally employed
Kenya,uniqueid_4461,No,Rural,No,4,60,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,uniqueid_4462,No,Rural,Yes,3,65,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Kenya,uniqueid_4463,No,Rural,Yes,7,29,Female,Other relative,Married/Living together,Primary education,Farming and Fishing
Kenya,uniqueid_4464,No,Urban,Yes,1,50,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Kenya,uniqueid_4465,No,Rural,Yes,7,42,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Kenya,uniqueid_4466,Yes,Urban,Yes,5,34,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Private
Kenya,uniqueid_4467,No,Rural,Yes,6,42,Female,Head of Household,Married/Living together,Secondary education,Informally employed
Kenya,uniqueid_4468,No,Rural,No,6,26,Female,Spouse,Married/Living together,No formal education,Informally employed
Kenya,uniqueid_4469,No,Rural,No,1,29,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
Kenya,uniqueid_4470,No,Rural,No,1,76,Female,Head of Household,Widowed,Primary education,Remittance Dependent
Kenya,uniqueid_4471,Yes,Urban,Yes,6,38,Female,Spouse,Married/Living together,Vocational/Specialised training,Self employed
Kenya,uniqueid_4472,No,Rural,Yes,4,67,Female,Head of Household,Widowed,No formal education,Informally employed
Kenya,uniqueid_4473,Yes,Rural,Yes,3,24,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Kenya,uniqueid_4474,No,Urban,Yes,8,38,Female,Head of Household,Married/Living together,No formal education,Self employed
Kenya,uniqueid_4475,No,Urban,No,5,26,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_4476,No,Rural,Yes,5,40,Female,Child,Single/Never Married,Secondary education,Informally employed
Kenya,uniqueid_4477,No,Urban,Yes,6,26,Female,Spouse,Married/Living together,No formal education,Remittance Dependent
Kenya,uniqueid_4478,No,Rural,No,7,83,Female,Parent,Widowed,No formal education,Remittance Dependent
Kenya,uniqueid_4479,No,Urban,Yes,3,49,Female,Head of Household,Single/Never Married,Primary education,Formally employed Government
Kenya,uniqueid_4480,No,Rural,Yes,12,46,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,uniqueid_4481,No,Urban,Yes,6,29,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_4482,No,Urban,Yes,2,29,Female,Spouse,Married/Living together,Primary education,Self employed
Kenya,uniqueid_4483,Yes,Urban,Yes,1,77,Male,Head of Household,Divorced/Seperated,Tertiary education,Self employed
Kenya,uniqueid_4484,No,Rural,Yes,7,69,Female,Head of Household,Widowed,No formal education,Remittance Dependent
Kenya,uniqueid_4485,Yes,Rural,No,2,70,Male,Head of Household,Divorced/Seperated,No formal education,Farming and Fishing
Kenya,uniqueid_4486,Yes,Rural,Yes,1,35,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Private
Kenya,uniqueid_4487,No,Rural,No,4,25,Female,Spouse,Married/Living together,No formal education,Informally employed
Kenya,uniqueid_4488,No,Rural,No,6,45,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,uniqueid_4489,Yes,Urban,Yes,2,59,Male,Head of Household,Married/Living together,Secondary education,Other Income
Kenya,uniqueid_4490,No,Rural,No,4,18,Female,Child,Single/Never Married,Secondary education,Other Income
Kenya,uniqueid_4491,No,Urban,Yes,1,29,Male,Head of Household,Married/Living together,Primary education,Formally employed Private
Kenya,uniqueid_4492,No,Rural,Yes,5,25,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,uniqueid_4493,Yes,Rural,Yes,1,55,Female,Head of Household,Single/Never Married,Primary education,Farming and Fishing
Kenya,uniqueid_4494,No,Rural,No,6,30,Male,Child,Single/Never Married,Primary education,Remittance Dependent
Kenya,uniqueid_4495,No,Urban,Yes,6,22,Male,Child,Single/Never Married,Secondary education,Farming and Fishing
Kenya,uniqueid_4496,No,Rural,No,4,28,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
Kenya,uniqueid_4497,No,Urban,Yes,4,38,Female,Head of Household,Single/Never Married,Primary education,Informally employed
Kenya,uniqueid_4498,No,Urban,Yes,3,30,Female,Spouse,Married/Living together,Secondary education,Self employed
Kenya,uniqueid_4499,Yes,Rural,Yes,5,37,Male,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,uniqueid_4500,No,Rural,Yes,5,30,Female,Spouse,Married/Living together,Secondary education,Self employed
Kenya,uniqueid_4501,No,Urban,Yes,9,40,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,uniqueid_4502,No,Rural,Yes,4,37,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Kenya,uniqueid_4503,No,Urban,Yes,5,27,Male,Other relative,Single/Never Married,Secondary education,Other Income
Kenya,uniqueid_4504,No,Rural,No,3,83,Female,Head of Household,Widowed,Secondary education,Remittance Dependent
Kenya,uniqueid_4505,No,Urban,Yes,4,27,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent
Kenya,uniqueid_4506,No,Urban,Yes,4,32,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,uniqueid_4507,No,Rural,No,7,17,Male,Other relative,Single/Never Married,Primary education,Remittance Dependent
Kenya,uniqueid_4508,No,Rural,Yes,6,33,Female,Head of Household,Single/Never Married,Primary education,Farming and Fishing
Kenya,uniqueid_4509,No,Rural,Yes,1,39,Male,Head of Household,Divorced/Seperated,Secondary education,Remittance Dependent
Kenya,uniqueid_4510,Yes,Urban,Yes,1,59,Male,Head of Household,Married/Living together,Secondary education,Formally employed Government
Kenya,uniqueid_4511,No,Rural,No,10,76,Female,Head of Household,Married/Living together,No formal education,Remittance Dependent
Kenya,uniqueid_4512,No,Rural,Yes,5,30,Female,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_4513,No,Rural,Yes,1,72,Female,Head of Household,Single/Never Married,Secondary education,Farming and Fishing
Kenya,uniqueid_4514,No,Rural,Yes,4,30,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,uniqueid_4515,No,Rural,Yes,4,28,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,uniqueid_4516,Yes,Urban,Yes,1,40,Male,Head of Household,Married/Living together,Secondary education,Formally employed Government
Kenya,uniqueid_4517,No,Urban,Yes,4,24,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Kenya,uniqueid_4518,No,Rural,No,3,70,Female,Head of Household,Widowed,No formal education,Remittance Dependent
Kenya,uniqueid_4519,No,Rural,Yes,1,65,Female,Head of Household,Single/Never Married,No formal education,Self employed
Kenya,uniqueid_4520,No,Urban,Yes,3,29,Female,Head of Household,Married/Living together,Vocational/Specialised training,Self employed
Kenya,uniqueid_4521,Yes,Rural,Yes,1,50,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_4522,Yes,Rural,Yes,4,37,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,uniqueid_4523,No,Rural,Yes,4,53,Female,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_4524,No,Urban,Yes,3,30,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_4525,No,Rural,Yes,6,36,Male,Child,Married/Living together,Primary education,Formally employed Private
Kenya,uniqueid_4526,Yes,Urban,Yes,2,30,Male,Head of Household,Single/Never Married,Secondary education,Self employed
Kenya,uniqueid_4527,No,Urban,Yes,1,28,Female,Head of Household,Single/Never Married,Primary education,Informally employed
Kenya,uniqueid_4528,No,Urban,Yes,3,23,Female,Spouse,Married/Living together,Secondary education,Formally employed Private
Kenya,uniqueid_4529,No,Rural,Yes,2,17,Male,Child,Single/Never Married,Primary education,Informally employed
Kenya,uniqueid_4530,No,Rural,No,5,34,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,uniqueid_4531,No,Rural,Yes,5,58,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,uniqueid_4532,No,Rural,Yes,6,40,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_4533,No,Urban,Yes,3,52,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
Kenya,uniqueid_4534,No,Rural,Yes,4,56,Female,Head of Household,Married/Living together,No formal education,Remittance Dependent
Kenya,uniqueid_4535,No,Rural,Yes,4,18,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,uniqueid_4536,Yes,Urban,Yes,3,30,Female,Child,Single/Never Married,Tertiary education,Self employed
Kenya,uniqueid_4537,No,Urban,Yes,2,69,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,uniqueid_4538,No,Rural,Yes,5,73,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,uniqueid_4539,No,Rural,Yes,7,70,Female,Head of Household,Widowed,Primary education,Remittance Dependent
Kenya,uniqueid_4540,No,Rural,No,6,74,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,uniqueid_4541,No,Urban,Yes,5,26,Male,Child,Single/Never Married,Secondary education,Self employed
Kenya,uniqueid_4542,No,Urban,Yes,2,60,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,uniqueid_4543,No,Urban,Yes,2,24,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_4544,No,Rural,No,7,16,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,uniqueid_4545,No,Rural,Yes,4,60,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,uniqueid_4546,No,Rural,Yes,2,52,Male,Other non-relatives,Married/Living together,Primary education,Formally employed Private
Kenya,uniqueid_4547,No,Urban,Yes,3,27,Female,Spouse,Married/Living together,Secondary education,Formally employed Private
Kenya,uniqueid_4548,No,Urban,No,5,78,Female,Parent,Widowed,No formal education,Remittance Dependent
Kenya,uniqueid_4549,Yes,Urban,Yes,1,25,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Kenya,uniqueid_4550,No,Rural,Yes,8,25,Female,Head of Household,Widowed,No formal education,Remittance Dependent
Kenya,uniqueid_4551,No,Urban,Yes,3,28,Female,Head of Household,Single/Never Married,Tertiary education,Formally employed Government
Kenya,uniqueid_4552,Yes,Urban,Yes,2,22,Female,Other non-relatives,Single/Never Married,Secondary education,Formally employed Private
Kenya,uniqueid_4553,No,Urban,No,5,55,Male,Spouse,Married/Living together,No formal education,Self employed
Kenya,uniqueid_4554,No,Urban,Yes,9,70,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Kenya,uniqueid_4555,No,Urban,Yes,6,45,Male,Head of Household,Married/Living together,Primary education,Self employed
Kenya,uniqueid_4556,No,Rural,Yes,7,48,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Kenya,uniqueid_4557,No,Rural,Yes,5,28,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_4558,Yes,Rural,Yes,2,88,Female,Head of Household,Widowed,No formal education,Remittance Dependent
